Date, AAL Open, AAPL Open, AMZN Open, BAC Open, DAL Open, HMC Open, JNJ Open, JPM Open, LLY Open, LUV Open, MSFT Open, TM Open, TSLA Open, UNH Open, V Open
9/1/2016,36.529999,26.535,38.544998,16.15,37,30.969999,119.190002,67.639999,77.75,36.880001,57.009998,121.589996,13.934,136.820007,81.139999
10/1/2016,36.459999,28.1775,41.799999,15.59,39.25,28.959999,118,66.349998,80,38.849998,57.41,114.489998,14.153333,139.350006,82.419998
11/1/2016,40.509998,28.365,39.950001,16.559999,41.84,29.4,114.760002,69.480003,73.809998,39.98,59.970001,115.760002,13.202667,141.509995,82.639999
12/1/2016,46.200001,27.592501,37.620499,21.42,47.959999,29.610001,111.360001,80.650002,67.290001,46.360001,60.110001,117.690002,12.55,159.119995,77.57
1/1/2017,47.279999,28.950001,37.896,22.6,49.369999,29.48,115.779999,87.339996,73.940002,50.400002,62.790001,118.169998,14.324,161.130005,78.760002
2/1/2017,44.75,31.7575,41.460499,22.969999,47.48,30.23,112.480003,85.540001,77.889999,52.549999,64.360001,115.839996,16.870001,162.75,82.900002
3/1/2017,46.790001,34.4725,42.6525,25.370001,50.41,31.26,122.489998,92.790001,83.440002,58.470001,64.129997,114.82,16.945333,166.720001,88.739998
4/1/2017,42.330002,35.927502,44.400002,23.65,45.959999,30.200001,124.730003,87.989998,84.129997,53.720001,65.809998,108.620003,19.126667,164.619995,89.139999
5/1/2017,42.759998,36.275002,46.389999,23.52,45.59,28.98,123.400002,87.360001,82.089996,56.52,68.68,108.290001,20.992001,175,91.290001
6/1/2017,48.5,38.2925,49.929501,22.48,49.32,28.040001,128.320007,82.459999,79.599998,60.18,70.239998,107.839996,22.933332,175.779999,95.400002
7/1/2017,50.779999,36.220001,48.6395,24.459999,54.259998,27.48,132.789993,91.559998,82.410004,62.52,69.330002,105.800003,24.682667,186.289993,94.379997
8/1/2017,51.130001,37.275002,49.8055,24.290001,49.779999,28.799999,133.169998,92.489998,82.860001,55.880001,73.099998,114.120003,21.533333,193.399994,100.360001
9/1/2017,44.849998,41.200001,49.209999,23.9,47.419998,28.190001,132.600006,91.25,81.540001,52.349998,74.709999,112.739998,23.741333,199.789993,104.040001
10/1/2017,47.52,38.564999,48.200001,25.459999,48.349998,29.559999,130.160004,95.769997,85.779999,56.02,74.709999,118.830002,22.834667,196.589996,105.540001
11/1/2017,48,42.467499,55.27,27.639999,50.189999,31.709999,139.830002,101.099998,82.169998,54.029999,83.68,124.290001,22.15,211.619995,110.5
12/1/2017,,42.487499,58.602501,28.25,52.549999,33.400002,139.570007,104.900002,84.980003,60.509998,83.599998,125.400002,20.362667,228.889999,112.379997
